Object,Teff,Lum,Distance,Parallax,Av,logg,[Fe/H]
HIP_5447,3832.806227356195,1434.8881822955375,60.53268597399125,16.52,0.0042129499881001,0.3913439521513968,-0.0352407627784574
HIP_63090,3576.231247301912,653.6384900849358,59.05485712583956,16.44,0.0028804084787356,0.6505339833215031,-0.0034998445092025
HIP_114724,3765.4805417521857,269.61513881889755,68.62958970105258,16.14,0.0036669281706159,1.1526679873626424,-0.0072314251086657
HIP_45860,3874.932646751404,489.7843402532493,62.266502693269,16.06,0.0025553087600676,0.7984943964060887,-0.0351573243423388
HIP_18543,3773.3000210719183,558.920122047435,59.186813664491424,16.04,0.0029022758044445,0.8432187349091684,-0.0138242876366136
HIP_34922,3247.1087746554986,1922.660411481876,64.06150044803144,15.61,0.002762271947335,0.0586251648320068,-0.0449828677903945
HIP_17678,3695.134800672531,648.7807216545004,65.61679888572792,15.24,0.0030348319662123,0.6871696171720423,-0.0630661414171786
HIP_3179,4717.877911857795,722.4069080568579,69.97900648491864,14.29,0.0055113862750392,1.0656852318144443,-0.058313519331363
HIP_50801,3770.82104254514,772.2561358472772,70.62146968756929,14.16,0.0026842172530253,0.6815115535816081,-0.0467605672162523
HIP_30343,3522.8537895272893,1636.250567750388,71.02272765757131,14.08,0.0038733138008678,0.2481923288184271,-0.0271883806749951
HIP_48036,2102.6882763113827,2259.4232050530813,71.27583884766231,14.03,0.0026028027699975,-0.499,-0.0141224880545182
HIP_6867,3796.7237317934632,534.298030065173,72.95699040166511,13.96,0.0029243843427397,0.862509285363386,-0.0500099368955657
HIP_14135,3660.9872919140616,1748.2150452503113,76.39419315073883,13.09,0.00429550007866,0.3210283937535152,-0.0054485373927453
HIP_75177,3945.0351199531,555.3642760303931,84.31703448127794,11.86,0.0090636735035626,0.8549188862087957,-0.0498294455546862
HIP_73714,3539.937709525184,1692.695140215443,88.4173265162346,11.31,0.010956551832208,0.2455347679050739,-0.0377425923685799
HIP_110256,3316.513168439269,1174.6882767453017,89.12655759364006,11.22,0.004311350616528,0.1824778929685537,-0.0876634421756529
HIP_9347,3759.537853026995,593.6828594950298,93.82338899128028,11.14,0.0035182138727513,0.6672695845518781,-0.0337293628004416
HIP_92862,3332.93900039047,2816.556930342604,92.18650444338572,10.94,0.0070225292615941,-0.0779404209078551,-0.0638884080077248
HIP_10826,3421.657992247492,8370.906133727134,91.6590296962473,10.91,0.004314748284624,-0.2377634528074939,-0.004760379825267
HIP_59929,3391.485014837235,1678.0254213779544,92.42144438121872,10.82,0.0082839847899774,0.0787427278480255,-0.0854592323795359
HIP_15474,3509.634646952036,1486.2389137141574,93.66955945446868,10.71,0.0035789844532535,0.2774157410771183,-0.03470806819216
HIP_14354,3438.387744922657,2924.27691472307,94.33961924644257,10.6,0.0080273884167278,-0.0322051523818061,-0.0590966696473391
