#Object,Effective,temperature,Luminosity,Radius,Chi^2
#Name,Kelvin,Solar,luminosities,Solar,Radii
HIP,63642,2524.6158362715505,5073.198538514443,499.7092768321354,0.0009200651594504168
HIP,60781,3411.738006982341,1309.9217696885923,157.48171370097225,0.03916726851511711
HIP,78574,3107.3364892043173,4383.551547411737,381.4281748366786,0.0014462448244200617
HIP,72370,4180.104027092457,1011.5078748924137,81.83109916442142,5.9522352635365905e-05
HIP,1170,3693.8363686203957,1025.9381367568662,97.11381357812157,0.01902923406927983
HIP,98688,3461.438684957102,2029.1808716452106,170.1448088543817,0.0006779102924610008
HIP,111795,3470.2811954542994,1245.6192817996903,140.13331035034145,0.00021575975514652717
HIP,2210,3563.869194984436,1481.1278106673137,140.14484213401298,0.02462554229838525
HIP,14456,3554.1706120222807,1029.9652332754108,99.88461235172268,0.04956882409378637
HIP,104234,3766.2411441221775,840.5485069064509,81.90884564368595,0.0007598595146495185
